timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
11/11/2022,122697.8777,123342.9975,114048.5328,118988.5959,17602.45,17695,16361.6,17070.31,393552.8649,393552.8649
11/10/2022,110989.0409,126856.1295,109815.0693,122688.8161,15922.68,18199,15754.26,17601.15,608448.3643,608448.3643
11/9/2022,129270.5713,129565.9811,108656.154,110989.9471,18545.38,18587.76,15588,15922.81,731926.9297,731926.9297
11/8/2022,143527.2652,144295.484,119661.3885,129283.4667,20590.67,20700.88,17166.83,18547.23,760705.3628,760705.3628
11/7/2022,145722.3454,146866.8318,142092.8757,143530.4717,20905.58,21069.77,20384.89,20591.13,386977.6034,386977.6034
11/6/2022,148467.2586,148926.6145,145586.7692,145722.3454,21299.37,21365.27,20886.13,20905.58,230036.9722,230036.9722
11/5/2022,147415.7587,149730.8708,146942.6708,148467.2586,21148.52,21480.65,21080.65,21299.37,245621.9853,245621.9853
11/4/2022,140853.73,148485.9395,140671.3817,147415.7587,20207.12,21302.05,20180.96,21148.52,453694.3917,453694.3917
11/3/2022,140468.4007,142151.6371,139627.7584,140858.6093,20151.84,20393.32,20031.24,20207.82,319185.1544,319185.1544
11/2/2022,142775.4271,144986.4,139744.8628,140468.4007,20482.81,20800,20048.04,20151.84,373716.273,373716.273
11/1/2022,142830.7032,144289.35,141715.4232,142781.0732,20490.74,20700,20330.74,20483.62,279932.4377,279932.4377
10/31/2022,143783.8493,145306.4854,141068.6305,142830.7032,20627.48,20845.92,20237.95,20490.74,303567.6163,303567.6163
10/30/2022,145053.8744,145900.9993,142999.8075,143783.8493,20809.68,20931.21,20515,20627.48,192795.6089,192795.6089
10/29/2022,143535.4207,146972.9925,143271.7267,145053.8047,20591.84,21085,20554.01,20809.67,254881.7776,254881.7776
10/28/2022,141467.0643,144637.875,139410.6273,143535.4207,20295.11,20750,20000.09,20591.84,287039.9457,287039.9457
10/27/2022,144788.5075,145489.7398,140804.1,141467.0643,20771.61,20872.21,20200,20295.11,328643.5779,328643.5779
10/26/2022,139960.8089,146519.91,139761.3829,144788.3681,20079.02,21020,20050.41,20771.59,380492.6958,380492.6958
10/25/2022,134743.9473,142308.8218,134091.5085,139968.1279,19330.6,20415.87,19237,20080.07,326370.6706,326370.6706
10/24/2022,136415.4732,136629.8161,133533.8685,134737.8133,19570.4,19601.15,19157,19329.72,256168.1447,256168.1447
10/23/2022,133863.5034,137283.9975,132928.2018,136415.4732,19204.29,19695,19070.11,19570.4,167057.2018,167057.2018
10/22/2022,133585.2411,134230.9185,133225.2148,133863.9217,19164.37,19257,19112.72,19204.35,110403.9084,110403.9084
10/21/2022,132731.7034,134182.125,129999.825,133585.2411,19041.92,19250,18650,19164.37,269310.7577,269310.7577
10/20/2022,133299.3112,134863.9793,131742.45,132731.7034,19123.35,19347.82,18900,19041.92,223530.1307,223530.1307
10/19/2022,134721.9205,134949.9953,132899.3439,133303.6329,19327.44,19360.16,19065.97,19123.97,186137.2954,186137.2954
10/18/2022,136262.6798,137365.2735,133073.8155,134721.9205,19548.48,19706.66,19091,19327.44,260313.0785,260313.0785
10/17/2022,134272.6021,137158.2497,133499.2251,136272.2991,19262.98,19676.96,19152.03,19549.86,222813.8763,222813.8763
10/16/2022,132916.2822,135407.8177,132883.7997,134272.6021,19068.4,19425.84,19063.74,19262.98,131894.6189,131894.6189
10/15/2022,133672.7906,134026.5434,132266.4922,132923.183,19176.93,19227.68,18975.18,19069.39,113847.6423,113847.6423
10/14/2022,135057.4804,139074.5098,132930.0141,133672.7906,19375.58,19951.87,19070.37,19176.93,351634.326,351634.326
10/13/2022,133520.6246,136020.8732,126793.395,135054.3437,19155.1,19513.79,18190,19375.13,399756.6834,399756.6834
10/12/2022,132857.73,134100.6399,132201.6665,133523.6219,19060,19238.31,18965.88,19155.53,213826.2673,213826.2673
10/11/2022,133358.6998,134308.2213,131463.63,132857.73,19131.87,19268.09,18860,19060,243473.8429,243473.8429
10/10/2022,135506.2412,136099.0125,132580.6526,133358.6998,19439.96,19525,19020.25,19131.87,212509.0985,212509.0985
10/9/2022,135342.8527,136329.039,134642.4568,135499.6889,19416.52,19558,19316.04,19439.02,113900.8268,113900.8268
10/8/2022,136134.4923,136812.6523,134092.4844,135352.8902,19530.09,19627.38,19237.14,19417.96,102480.0984,102480.0984
10/7/2022,139135.8502,139889.7098,134670.06,136134.4923,19960.67,20068.82,19320,19530.09,220874.8391,220874.8391
10/6/2022,140513.1513,142592.7303,138385.3365,139135.8502,20158.26,20456.6,19853,19960.67,320122.1702,320122.1702
